0.383333, 0.158333,
0.35, 0.208333,
0.358333, 0.25,
0.333333, 0.266667,
0.325, 0.333333,
0.308333, 0.341667,
0.3, 0.416667,
0.283333, 0.425,
0.291667, 0.441667,
0.275, 0.45,
0.258333, 0.533333,
0.241667, 0.541667,
0.25, 0.566667,
0.225, 0.583333,
0.233333, 0.6,
0.2, 0.65,
0.208333, 0.666667,
0.175, 0.716667,
0.183333, 0.725,
0.15, 0.75,
0.141667, 0.8,
0.35, 0.808333,
0.358333, 0.766667,
0.325, 0.75,
0.316667, 0.675,
0.391667, 0.666667,
0.508333, 0.675,
0.55, 0.666667,
0.55, 0.708333,
0.583333, 0.725,
0.558333, 0.775,
0.583333, 0.808333,
0.841667, 0.808333,
0.85, 0.766667,
0.816667, 0.733333,
0.808333, 0.675,
0.783333, 0.641667,
0.791667, 0.566667,
0.758333, 0.541667,
0.75, 0.483333,
0.708333, 0.45,
0.708333, 0.375,
0.691667, 0.366667,
0.7, 0.35,
0.666667, 0.3,
0.641667, 0.175,
0.6, 0.158333,
0.433333, 0.358333,
0.416667, 0.391667,
0.425, 0.408333,
0.408333, 0.416667,
0.416667, 0.425,
0.391667, 0.441667,
0.383333, 0.458333,
0.383333, 0.5,
0.366667, 0.516667,
0.375, 0.533333,
0.358333, 0.541667,
0.35, 0.566667,
0.35, 0.566667,
0.425, 0.566667,
0.433333, 0.575,
0.483333, 0.575,
0.491667, 0.583333,
0.516667, 0.583333,
0.533333, 0.575,
0.533333, 0.55,
0.516667, 0.525,
0.5, 0.516667,
0.508333, 0.5,
0.491667, 0.483333,
0.491667, 0.458333,
0.483333, 0.416667,
0.466667, 0.408333,
0.466667, 0.391667,
0.45, 0.375,
0.45, 0.366667,
