5, 4, 6,
4, 3, 2,
55, 10, 9,
7, 6, 8,
8, 6, 53,
55, 9, 8,
4, 50, 6,
47, 4, 2,
0, 2, 1,
50, 48, 49,
50, 4, 48,
75, 49, 48,
50, 49, 51,
46, 2, 0,
6, 50, 52,
55, 53, 54,
55, 8, 53,
54, 53, 70,
51, 53, 52,
51, 52, 50,
70, 60, 54,
6, 52, 53,
55, 54, 56,
51, 70, 53,
4, 47, 48,
10, 55, 57,
13, 12, 14,
15, 14, 16,
20, 19, 18,
17, 16, 18,
18, 16, 23,
20, 18, 23,
14, 24, 16,
12, 58, 24,
12, 10, 58,
56, 60, 58,
12, 11, 10,
60, 56, 54,
56, 58, 57,
58, 10, 57,
58, 60, 25,
23, 16, 24,
22, 21, 23,
24, 58, 25,
23, 21, 20,
25, 60, 61,
24, 14, 12,
55, 56, 57,
51, 49, 73,
47, 76, 75,
76, 47, 46,
74, 73, 49,
74, 75, 76,
76, 44, 74,
74, 49, 75,
73, 72, 71,
72, 73, 74,
70, 69, 68,
69, 70, 71,
68, 60, 70,
70, 51, 71,
72, 42, 71,
73, 71, 51,
74, 44, 72,
68, 62, 60,
46, 45, 44,
44, 43, 42,
42, 72, 44,
42, 40, 71,
69, 67, 68,
67, 69, 40,
67, 40, 66,
69, 71, 40,
42, 41, 40,
38, 40, 39,
44, 76, 46,
47, 2, 46,
68, 67, 62,
61, 62, 63,
60, 62, 61,
62, 66, 64,
27, 65, 38,
67, 66, 62,
64, 66, 65,
63, 26, 61,
26, 63, 64,
27, 64, 65,
28, 27, 29,
27, 26, 64,
63, 62, 64,
65, 66, 38,
27, 36, 29,
36, 27, 38,
37, 36, 38,
29, 36, 34,
34, 36, 35,
30, 29, 31,
34, 33, 32,
34, 32, 31,
29, 34, 31,
66, 40, 38,
26, 25, 61,
48, 47, 75,
